text,score
The tool is amazing and I definitely worth the money.,4.89
The customer service works perfectly and I absolutely love it.,4.26
"This app is terrible, extremely frustrated.",1.55
"The item is very disappointing, extremely frustrated.",1.43
"The item is terrible, worst purchase ever.",1.39
This app is great and I so happy with this purchase.,4.47
This product is absolutely fantastic and I definitely worth the money.,4.85
"The item broke immediately, really hate it.",1.06
"The quality is awful, worst purchase ever.",2.07
I do not think this product exceeded my expectations.,2.13
I do not think this app is amazing.,1.93
"The package is awful, do not buy.",1.78
"This item works as expected, does the job.",3.88
"This item is mediocre, some good and some bad parts.",2.63
The customer service is absolutely fantastic and I will buy again.,4.14
The item is great and I absolutely love it.,4.67
"The design works as expected, some good and some bad parts.",2.71
The customer service is amazing and I so happy with this purchase.,4.42
I do not think the tool is amazing.,2.3
The item is top-notch and I absolutely love it.,4.67
"The design is mediocre, fair value for the price.",3.46
"The service works as expected, fair value for the price.",2.69
"This service is very disappointing, worst purchase ever.",1.48
This product works perfectly and I definitely worth the money.,4.24
This product is absolutely fantastic and I will buy again.,4.16
"The service is okay, not bad but not great.",3.71
This product is absolutely fantastic and I so happy with this purchase.,4.55
This app is amazing and I absolutely love it.,4.71
"The item is awful, really hate it.",1.42
The overall design is great and I definitely worth the money.,4.28
"The item is terrible, extremely frustrated.",2.23
The item is great and I will buy again.,4.06
"The performance is mediocre, fair value for the price.",3.31
The item is great and I so happy with this purchase.,4.59
"The performance works as expected, does the job.",3.09
The item is great and I will buy again.,4.59
The item is top-notch and I highly recommend it.,4.41
I do not think the item works perfectly.,1.76
"This item is mediocre, nothing special.",2.65
"This service is terrible, very unhappy.",2.29
I do not think this product exceeded my expectations.,1.34
"This app is awful, extremely frustrated.",1.21
"The design is average, fair value for the price.",3.14
"The quality is a complete waste of money, very unhappy.",2.3
"The item is very disappointing, worst purchase ever.",1.02
I do not think this product is absolutely fantastic.,1.99
"The product works as expected, does the job.",3.86
"The service is mediocre, nothing special.",3.06
"The product is okay, some good and some bad parts.",3.71
The item is great and I will buy again.,4.74
"This app is terrible, very unhappy.",1.9
"The design is okay, nothing special.",3.85
I do not think the item works perfectly.,2.23
The tool is absolutely fantastic and I absolutely love it.,4.3
"This service is a complete waste of money, very unhappy.",2.12
"The package is awful, do not buy.",1.25
I do not think the overall design is absolutely fantastic.,1.25
I do not think the tool is top-notch.,2.1
I do not think this product exceeded my expectations.,2.28
"The quality broke immediately, really hate it.",1.05
I do not think the tool is amazing.,1.84
"This app broke immediately, worst purchase ever.",2.29
"This item is mediocre, some good and some bad parts.",3.19
"The product is okay, fair value for the price.",3.3
"The performance is decent, does the job.",2.99
"The quality is awful, very unhappy.",1.73
"The quality is a complete waste of money, worst purchase ever.",2.12
"This service is awful, do not buy.",1.69
The overall design is top-notch and I highly recommend it.,4.2
"This item is okay, nothing special.",3.8
"The quality is very disappointing, extremely frustrated.",1.97
The overall design works perfectly and I so happy with this purchase.,4.39
I do not think the overall design is amazing.,1.4
I do not think this product works perfectly.,1.4
"The item does not work at all, really hate it.",2.46
"The package is a complete waste of money, really hate it.",2.14
"The performance is decent, nothing special.",3.17
"This item works as expected, nothing special.",3.22
The overall design works perfectly and I highly recommend it.,4.38
This app is great and I highly recommend it.,4.6
This product is great and I so happy with this purchase.,4.52
This product is great and I definitely worth the money.,4.85
"The package is very disappointing, extremely frustrated.",1.82
The overall design is great and I highly recommend it.,4.87
"The product broke immediately, extremely frustrated.",2.1
"The design works as expected, not bad but not great.",3.22
The item exceeded my expectations and I absolutely love it.,4.51
I do not think this product exceeded my expectations.,2.17
"The product is decent, not bad but not great.",2.7
The customer service is great and I definitely worth the money.,4.62
"The product is awful, do not buy.",1.31
"This service does not work at all, really hate it.",1.15
"The product is terrible, extremely frustrated.",1.35
"This service is very disappointing, really hate it.",1.13
"This app is awful, extremely frustrated.",1.87
"The quality is awful, really hate it.",2.48
"This service is terrible, do not buy.",2.2
This product is great and I absolutely love it.,4.07
"The quality is awful, worst purchase ever.",1.97
I do not think the customer service is great.,1.95
"The quality is very disappointing, really hate it.",2.22
"This item works as expected, nothing special.",3.63
This product is top-notch and I definitely worth the money.,4.75
"The service is okay, fair value for the price.",2.86
The overall design is amazing and I absolutely love it.,4.57
This app is amazing and I so happy with this purchase.,4.88
"The design is average, not bad but not great.",3.12
"The quality is a complete waste of money, worst purchase ever.",2.36
The tool is great and I highly recommend it.,4.73
"The item broke immediately, really hate it.",1.0
"This item is decent, does the job.",3.52
The customer service is amazing and I absolutely love it.,4.15
"The item is terrible, extremely frustrated.",2.16
The item is top-notch and I will buy again.,4.38
"This item is mediocre, some good and some bad parts.",3.11
"The quality is a complete waste of money, worst purchase ever.",1.46
This app is absolutely fantastic and I highly recommend it.,4.38
"The product is average, nothing special.",3.28
This product is absolutely fantastic and I so happy with this purchase.,4.73
I do not think the item is great.,1.79
The overall design is great and I will buy again.,4.87
"The product is awful, very unhappy.",2.35
I do not think the customer service exceeded my expectations.,1.25
I do not think this app is great.,1.68
I do not think the overall design works perfectly.,1.31
I do not think this product exceeded my expectations.,1.59
This app exceeded my expectations and I definitely worth the money.,4.1
"The quality is terrible, extremely frustrated.",1.3
"The product is a complete waste of money, do not buy.",1.15
The tool is top-notch and I definitely worth the money.,4.6
This product is great and I highly recommend it.,4.61
"The product works as expected, fair value for the price.",2.88
This app exceeded my expectations and I absolutely love it.,4.23
This product exceeded my expectations and I definitely worth the money.,4.17
"The performance is okay, does the job.",3.07
I do not think this product exceeded my expectations.,1.27
"The performance works as expected, does the job.",3.63
"The design is mediocre, not bad but not great.",3.43
The tool is absolutely fantastic and I so happy with this purchase.,4.58
I do not think this product is absolutely fantastic.,1.82
This app exceeded my expectations and I will buy again.,4.67
"This item works as expected, does the job.",3.44
"The product is very disappointing, really hate it.",2.16
The item is amazing and I highly recommend it.,4.16
The item is great and I definitely worth the money.,4.9
"The package broke immediately, extremely frustrated.",1.32
I do not think this product works perfectly.,1.81
"The design is mediocre, nothing special.",3.5
"The service is mediocre, some good and some bad parts.",3.71
"The item is very disappointing, do not buy.",1.4
"The service is okay, does the job.",3.53
The overall design is amazing and I absolutely love it.,4.55
"The design works as expected, does the job.",3.63
The tool is great and I definitely worth the money.,5.0
"The quality is terrible, really hate it.",1.79
"The package is very disappointing, very unhappy.",1.93
I do not think this product works perfectly.,2.21
I do not think the tool works perfectly.,2.28
"This app does not work at all, extremely frustrated.",2.44
"This service is very disappointing, very unhappy.",1.93
"The product is a complete waste of money, really hate it.",2.07
This app exceeded my expectations and I highly recommend it.,4.34
The customer service works perfectly and I absolutely love it.,4.52
"The performance is okay, fair value for the price.",3.51
The item is great and I absolutely love it.,4.34
"The design works as expected, some good and some bad parts.",3.61
The item exceeded my expectations and I absolutely love it.,4.79
I do not think the customer service exceeded my expectations.,2.08
I do not think this app exceeded my expectations.,2.08
I do not think the customer service is amazing.,1.45
"The quality broke immediately, very unhappy.",1.72
The item is amazing and I highly recommend it.,4.65
"This app is terrible, extremely frustrated.",1.75
The tool is great and I highly recommend it.,4.1
The overall design is great and I will buy again.,4.01
The item is absolutely fantastic and I so happy with this purchase.,4.87
"The design is decent, some good and some bad parts.",2.75
I do not think the tool exceeded my expectations.,1.41
"The design is mediocre, not bad but not great.",3.16
"The product is very disappointing, extremely frustrated.",2.05
"The product works as expected, nothing special.",2.84
"The design works as expected, nothing special.",3.56
The item is top-notch and I absolutely love it.,5.0
"The item does not work at all, extremely frustrated.",2.42
"The product is average, some good and some bad parts.",2.69
This product works perfectly and I absolutely love it.,4.92
"The design works as expected, does the job.",3.59
The overall design exceeded my expectations and I so happy with this purchase.,4.51
I do not think this app is absolutely fantastic.,1.22
"The performance is mediocre, fair value for the price.",2.95
This app is amazing and I definitely worth the money.,4.27
The overall design is great and I highly recommend it.,4.98
"The performance is okay, some good and some bad parts.",2.73
I do not think this app is absolutely fantastic.,1.33
The overall design exceeded my expectations and I absolutely love it.,4.16
I do not think this app exceeded my expectations.,2.11
I do not think this product exceeded my expectations.,1.78
"The product is a complete waste of money, do not buy.",1.59
"The quality broke immediately, extremely frustrated.",2.35
I do not think the tool is absolutely fantastic.,2.26
I do not think the overall design is great.,1.59
I do not think the tool is great.,1.77
"The package is awful, do not buy.",1.87
This app is top-notch and I highly recommend it.,4.05
"This item is decent, nothing special.",2.87
This app works perfectly and I absolutely love it.,4.04
"The product is decent, some good and some bad parts.",3.63
"The package does not work at all, very unhappy.",2.11
The customer service is absolutely fantastic and I highly recommend it.,4.38
"The product is okay, fair value for the price.",3.8
I do not think the item works perfectly.,2.19
The overall design works perfectly and I definitely worth the money.,4.69
"The item broke immediately, do not buy.",1.26
I do not think the item is amazing.,2.02
The overall design is absolutely fantastic and I so happy with this purchase.,4.95
This app is amazing and I will buy again.,4.38
"The item is awful, worst purchase ever.",1.55
"The quality does not work at all, worst purchase ever.",1.27
"The item is a complete waste of money, really hate it.",2.46
"The package broke immediately, extremely frustrated.",1.99
The tool is amazing and I will buy again.,4.32
"The product is terrible, extremely frustrated.",1.57
"The performance is decent, fair value for the price.",3.16
"The quality is a complete waste of money, very unhappy.",2.39
"This service broke immediately, very unhappy.",1.75
"The design is okay, not bad but not great.",2.64
"The product is decent, some good and some bad parts.",3.48
"This item is average, nothing special.",2.68
"The service is mediocre, fair value for the price.",3.44
I do not think the overall design is top-notch.,1.56
"The item does not work at all, do not buy.",1.2
The item works perfectly and I will buy again.,4.59
This app is absolutely fantastic and I highly recommend it.,4.14
"This app is awful, worst purchase ever.",1.25
"This app is awful, worst purchase ever.",1.08
I do not think the overall design is amazing.,1.32
"This item is okay, fair value for the price.",2.69
The customer service is amazing and I absolutely love it.,4.42
"This item is mediocre, does the job.",3.25
"This item is mediocre, nothing special.",3.86
I do not think this product is great.,2.14
The item is absolutely fantastic and I highly recommend it.,4.96
"The design works as expected, not bad but not great.",3.67
The customer service is absolutely fantastic and I will buy again.,4.21
The item is top-notch and I will buy again.,4.96
"The service is decent, not bad but not great.",3.1
The overall design is amazing and I highly recommend it.,4.84
"The item is awful, extremely frustrated.",1.39
"The product is okay, does the job.",3.88
"The service is average, fair value for the price.",3.13
"The service is decent, does the job.",2.82
I do not think the customer service is top-notch.,1.58
"The package is terrible, worst purchase ever.",1.89
The customer service works perfectly and I so happy with this purchase.,4.2
The customer service is amazing and I highly recommend it.,4.93
"The package is very disappointing, really hate it.",1.84
"The quality is very disappointing, extremely frustrated.",2.45
The overall design exceeded my expectations and I definitely worth the money.,4.02
"The product is terrible, really hate it.",2.04
"The package is very disappointing, extremely frustrated.",1.35
"The product is decent, fair value for the price.",3.12
"The service works as expected, does the job.",3.06
"The product is very disappointing, do not buy.",1.23
"This service is terrible, really hate it.",1.55
I do not think the item exceeded my expectations.,1.59
I do not think the tool is absolutely fantastic.,1.52
This app is amazing and I highly recommend it.,4.19
"This item is okay, does the job.",3.25
"This service is terrible, worst purchase ever.",2.18
"The item is a complete waste of money, worst purchase ever.",1.14
"The product is terrible, very unhappy.",1.07
"The performance is decent, does the job.",3.4
"The product works as expected, some good and some bad parts.",3.79
The tool exceeded my expectations and I will buy again.,4.18
The tool is top-notch and I absolutely love it.,4.23
"The design is okay, does the job.",3.58
I do not think this app exceeded my expectations.,1.59
I do not think the item is absolutely fantastic.,1.83
The overall design works perfectly and I will buy again.,4.92
The tool exceeded my expectations and I so happy with this purchase.,4.41
"The service is decent, some good and some bad parts.",3.45
This product is top-notch and I definitely worth the money.,4.98
The item works perfectly and I will buy again.,4.25
The overall design exceeded my expectations and I definitely worth the money.,4.28
This app exceeded my expectations and I absolutely love it.,4.55
The item is top-notch and I will buy again.,4.63
The tool exceeded my expectations and I absolutely love it.,4.18
"The item broke immediately, do not buy.",1.18
"This service is terrible, worst purchase ever.",2.06
"The product is mediocre, some good and some bad parts.",3.3
The customer service exceeded my expectations and I so happy with this purchase.,4.69
"The quality is a complete waste of money, extremely frustrated.",2.4
The customer service exceeded my expectations and I so happy with this purchase.,4.02
"The service is okay, not bad but not great.",3.31
"The service is decent, fair value for the price.",3.51
This app is amazing and I absolutely love it.,4.32
The item is amazing and I will buy again.,4.79
"The service works as expected, not bad but not great.",3.18
"The service works as expected, some good and some bad parts.",3.14
"This app is awful, do not buy.",2.32
The overall design is absolutely fantastic and I definitely worth the money.,4.17
"The performance is decent, does the job.",3.48
"The product is decent, fair value for the price.",3.01
I do not think the tool is great.,1.21
"The package is awful, really hate it.",1.63
"This service is a complete waste of money, very unhappy.",1.61
The overall design is amazing and I definitely worth the money.,4.47
I do not think the overall design is great.,2.17
"The design is okay, some good and some bad parts.",3.17
"This app is very disappointing, worst purchase ever.",2.25
I do not think the overall design is absolutely fantastic.,1.58
"This service broke immediately, worst purchase ever.",1.87
The customer service is amazing and I will buy again.,4.74
"The product is mediocre, fair value for the price.",2.73
I do not think the customer service is top-notch.,2.27
This app works perfectly and I will buy again.,4.48
"The quality broke immediately, really hate it.",2.24
I do not think this app is top-notch.,1.64
"The performance is mediocre, nothing special.",3.19
"The design is decent, nothing special.",3.59
"The design is mediocre, fair value for the price.",2.68
"The quality is terrible, extremely frustrated.",1.33
"The product is decent, some good and some bad parts.",2.74
I do not think the customer service works perfectly.,1.98
This app is amazing and I absolutely love it.,4.05
"The performance is mediocre, fair value for the price.",3.68
"The product is average, nothing special.",3.11
The customer service is great and I highly recommend it.,4.73
"The performance is mediocre, not bad but not great.",3.22
"The item is very disappointing, extremely frustrated.",1.88
"The package does not work at all, extremely frustrated.",1.41
The tool is amazing and I so happy with this purchase.,4.21
"The item is terrible, extremely frustrated.",2.04
"This app does not work at all, worst purchase ever.",2.0
The overall design is amazing and I highly recommend it.,4.06
"The product does not work at all, really hate it.",1.9
"The quality is very disappointing, do not buy.",1.07
"The performance is decent, does the job.",3.27
"The service is mediocre, not bad but not great.",2.61
"This item works as expected, some good and some bad parts.",3.55
"The design is average, fair value for the price.",3.4
I do not think this product is absolutely fantastic.,1.59
"This service is terrible, worst purchase ever.",1.08
"The product is mediocre, not bad but not great.",3.24
"The package broke immediately, worst purchase ever.",1.42
This app is absolutely fantastic and I absolutely love it.,4.98
"This item is decent, nothing special.",3.18
"This item is mediocre, does the job.",3.66
"The package does not work at all, really hate it.",1.59
"The product is terrible, really hate it.",1.24
"The performance is mediocre, fair value for the price.",3.83
I do not think the customer service is amazing.,1.36
I do not think the customer service is great.,1.79
I do not think this product works perfectly.,1.7
"This item is mediocre, some good and some bad parts.",2.64
"The quality is terrible, very unhappy.",2.19
"The performance is okay, some good and some bad parts.",3.33
"The service is okay, fair value for the price.",2.85
"The service is mediocre, not bad but not great.",2.96
"The design works as expected, does the job.",3.09
The tool is top-notch and I highly recommend it.,4.88
I do not think the customer service is amazing.,2.23
The item works perfectly and I so happy with this purchase.,4.89
"The product does not work at all, do not buy.",1.2
The item is great and I absolutely love it.,4.56
This app exceeded my expectations and I absolutely love it.,4.6
The customer service is absolutely fantastic and I absolutely love it.,4.73
"The package broke immediately, worst purchase ever.",1.84
"The product is okay, fair value for the price.",2.79
"The quality is terrible, extremely frustrated.",1.33
I do not think the item works perfectly.,1.39
I do not think the item is top-notch.,1.5
"The product is okay, does the job.",3.02
"The design is decent, nothing special.",2.76
This product is great and I definitely worth the money.,4.92
This app is great and I will buy again.,4.64
"The product is mediocre, does the job.",3.44
"This app broke immediately, very unhappy.",1.99
I do not think the customer service is absolutely fantastic.,1.31
"The package is very disappointing, extremely frustrated.",1.81
"The performance is mediocre, some good and some bad parts.",3.0
The tool exceeded my expectations and I will buy again.,4.14
I do not think the item works perfectly.,1.61
I do not think the overall design is absolutely fantastic.,2.11
I do not think the tool is absolutely fantastic.,1.6
I do not think this app is amazing.,1.35
I do not think this app exceeded my expectations.,1.63
The customer service works perfectly and I highly recommend it.,4.75
This product is top-notch and I definitely worth the money.,4.43
The item works perfectly and I absolutely love it.,4.01
"The quality broke immediately, do not buy.",2.22
"The product is decent, some good and some bad parts.",3.23
This product is great and I absolutely love it.,4.17
This product is amazing and I will buy again.,4.11
The customer service works perfectly and I definitely worth the money.,4.95
This app is top-notch and I definitely worth the money.,4.96
"This app is awful, do not buy.",1.81
"The product does not work at all, do not buy.",2.45
The tool is great and I will buy again.,4.6
This product exceeded my expectations and I absolutely love it.,4.23
"The package does not work at all, very unhappy.",1.01
"This item is mediocre, some good and some bad parts.",3.9
"The service is mediocre, not bad but not great.",3.6
The overall design is amazing and I so happy with this purchase.,4.06
The tool exceeded my expectations and I so happy with this purchase.,4.1
"The item does not work at all, very unhappy.",1.46
The tool is amazing and I highly recommend it.,4.97
This app is absolutely fantastic and I definitely worth the money.,4.52
"The quality is awful, do not buy.",2.36
"The service is decent, does the job.",3.05
"The performance is decent, nothing special.",2.67
"The product is awful, do not buy.",2.17
This product exceeded my expectations and I definitely worth the money.,4.97
"The item is very disappointing, do not buy.",1.05
"This item is mediocre, some good and some bad parts.",2.86
The tool is absolutely fantastic and I highly recommend it.,4.96
"The service is decent, not bad but not great.",3.1
"The item is awful, worst purchase ever.",1.6
"The package is very disappointing, really hate it.",1.96
This app is amazing and I so happy with this purchase.,4.9
"This item is okay, fair value for the price.",2.96
"The quality is terrible, very unhappy.",2.46
This product works perfectly and I definitely worth the money.,4.77
"This item is decent, not bad but not great.",2.63
I do not think the item is absolutely fantastic.,1.96
"The design is decent, some good and some bad parts.",3.45
"The item is awful, worst purchase ever.",1.48
The tool is great and I definitely worth the money.,4.44
The item is absolutely fantastic and I definitely worth the money.,4.6
I do not think the tool works perfectly.,1.29
This app is amazing and I so happy with this purchase.,4.19
I do not think the item is great.,1.88
The item is great and I so happy with this purchase.,4.47
The tool is absolutely fantastic and I so happy with this purchase.,4.37
"The package does not work at all, very unhappy.",1.83
The overall design is top-notch and I absolutely love it.,4.89
"The package does not work at all, worst purchase ever.",2.09
"The design is mediocre, does the job.",3.77
"This service is a complete waste of money, very unhappy.",1.36
"The quality broke immediately, extremely frustrated.",1.06
This app exceeded my expectations and I absolutely love it.,4.79
"The item is awful, very unhappy.",1.18
"The design is mediocre, not bad but not great.",3.1
I do not think the customer service is amazing.,2.05
"The performance is okay, does the job.",2.72
"The service is mediocre, not bad but not great.",3.01
The overall design is absolutely fantastic and I so happy with this purchase.,4.93
"The item broke immediately, very unhappy.",1.87
The item is top-notch and I will buy again.,4.05
"The product is average, not bad but not great.",3.8
The customer service is absolutely fantastic and I absolutely love it.,4.8
"The design is average, fair value for the price.",3.74
I do not think the tool is great.,2.11
"The product works as expected, some good and some bad parts.",3.68
I do not think this product works perfectly.,2.18
"The product is decent, nothing special.",3.87
"The service is decent, does the job.",2.83
"The item is awful, really hate it.",2.43
I do not think the item is amazing.,1.78
"The performance is decent, does the job.",2.99
I do not think this app exceeded my expectations.,2.18
"This app is a complete waste of money, worst purchase ever.",1.59
The tool is absolutely fantastic and I definitely worth the money.,4.19
"The design is okay, does the job.",2.63
The customer service works perfectly and I so happy with this purchase.,4.98
"The performance is mediocre, fair value for the price.",2.75
The overall design is amazing and I definitely worth the money.,4.76
The tool is great and I highly recommend it.,4.91
"This item is okay, does the job.",3.63
"This item is decent, some good and some bad parts.",3.64
"The product does not work at all, worst purchase ever.",1.85
"The quality is very disappointing, worst purchase ever.",2.47
This product is absolutely fantastic and I definitely worth the money.,4.16
This app is great and I highly recommend it.,4.39
The item exceeded my expectations and I highly recommend it.,4.58
The overall design is top-notch and I absolutely love it.,4.05
The tool is absolutely fantastic and I absolutely love it.,4.37
"The performance is okay, not bad but not great.",3.74
"The service is decent, does the job.",3.45
I do not think the customer service is great.,1.32
The tool exceeded my expectations and I will buy again.,4.29
"The product broke immediately, do not buy.",1.85
"The performance works as expected, does the job.",3.31
"This app broke immediately, really hate it.",1.74
"This service is terrible, do not buy.",2.05
"The quality is awful, worst purchase ever.",1.09
"This app does not work at all, very unhappy.",1.61
"The design is decent, not bad but not great.",3.11
"The item is awful, extremely frustrated.",2.42
This app is amazing and I so happy with this purchase.,4.89
I do not think the overall design works perfectly.,1.87
"The design is average, nothing special.",3.83
"The quality is terrible, extremely frustrated.",1.11
"The product is decent, nothing special.",3.84
"The quality does not work at all, do not buy.",1.55
"The item is very disappointing, do not buy.",2.01
"The product is okay, some good and some bad parts.",2.89
"The package does not work at all, extremely frustrated.",1.11
"The performance is decent, does the job.",3.02
I do not think the tool is top-notch.,1.84
